time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450904754	4.52205	-11.6555	-2.5406	-1.01708	-0.833137	radar	3.7153	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971
1477010450959709	4.48604	-11.5354	-2.49787	-1.09325	-0.882079	lidar	0.330902	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969
1477010451009669	4.34368	-11.3438	-3.34251	-1.10029	-0.840802	radar	20.9862	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032
1477010451059629	4.33856	-11.1715	-3.30866	-1.21608	-0.95683	lidar	0.810437	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321
1477010451114691	4.37618	-11.0521	-2.67054	-1.35374	-1.10653	radar	12.3329	4.43713	-11.024	4.45	-11.05	0	1.81614
1477010451169754	4.38657	-10.9048	-2.65305	-1.45287	-1.16733	lidar	0.317402	4.45136	-10.93	4.45	-10.95	0	1.81612
1477010451224789	4.36692	-10.756	-2.71934	-1.50469	-1.14034	radar	0.230074	4.44745	-10.786	4.45	-10.8	0	2.72555
1477010451279824	4.39417	-10.6081	-2.71281	-1.5996	-1.19039	lidar	0.333776	4.45788	-10.6457	4.45	-10.65	0	2.72554
1477010451334789	4.39518	-10.4615	-2.75536	-1.6481	-1.15506	radar	0.317163	4.46329	-10.5756	4.45	-10.5	0	2.729
1477010451389755	4.42035	-10.3156	-2.75131	-1.71917	-1.16692	lidar	0.0512485	4.44057	-10.3382	4.45	-10.35	0	2.72898
1477010451444763	4.44731	-10.1685	-2.7693	-1.77823	-1.15323	radar	0.132894	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687
1477010451499772	4.50515	-10.0216	-2.78337	-1.8628	-1.18435	lidar	0.149425	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685
1477010451554732	4.53267	-9.87291	-2.84737	-1.8827	-1.08239	radar	0.746599	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927
1477010451609692	4.60161	-9.72768	-2.86102	-1.95718	-1.10371	lidar	0.1047	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926
1477010451664722	4.61453	-9.55998	-2.96962	-1.9209	-0.886139	radar	2.17379	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578
1477010451719753	4.6944	-9.41474	-2.98153	-1.98718	-0.910432	lidar	0.268418	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576
1477010451774708	4.78025	-9.27581	-2.96894	-2.05905	-0.954217	radar	0.366426	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952
1477010451829663	4.8896	-9.12867	-3.02082	-2.13367	-0.983777	lidar	0.230616	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951
1477010451879669	4.97883	-9.00401	-3.02015	-2.19383	-1.01153	radar	0.0583293	4.95209	-8.96272	5	-9.05	0.999884	1.99977
1477010451929676	5.05626	-8.90096	-2.96776	-2.23833	-1.00529	lidar	0.160924	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974
1477010451984680	5.12696	-8.77032	-2.95556	-2.22786	-0.838062	radar	1.34513	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708
1477010452039685	5.24186	-8.63956	-2.98649	-2.28025	-0.844765	lidar	0.0490506	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705
1477010452089696	5.34946	-8.53332	-2.98785	-2.33666	-0.879108	radar	0.0692703	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957
1477010452139708	5.45354	-8.42882	-2.98399	-2.37969	-0.878113	lidar	0.00154271	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954
1477010452194711	5.54141	-8.31553	-2.93098	-2.37043	-0.725688	radar	1.19707	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807
1477010452249714	5.62205	-8.22474	-2.8286	-2.3999	-0.718365	lidar	0.478245	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808
1477010452304738	5.70255	-8.09984	-2.80076	-2.36429	-0.521546	radar	1.80541	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608
1477010452359763	5.82743	-7.98139	-2.84797	-2.39359	-0.52003	lidar	0.0814148	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606
1477010452414768	5.93095	-7.86534	-2.84451	-2.38932	-0.431841	radar	0.335493	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801
1477010452469773	6.0522	-7.7528	-2.86841	-2.41217	-0.429799	lidar	0.023438	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801
1477010452524779	6.15141	-7.63737	-2.84711	-2.39327	-0.315833	radar	0.545459	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798
1477010452579785	6.263	-7.53594	-2.83335	-2.41092	-0.316653	lidar	0.00661907	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798
1477010452634722	6.37267	-7.4304	-2.82311	-2.41245	-0.271991	radar	0.105851	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027
1477010452689660	6.47556	-7.341	-2.77619	-2.42847	-0.274854	lidar	0.0755734	6.452	-7.36418	6.45	-7.35	1.82025	1.82025
1477010452739683	6.6046	-7.26079	-2.8218	-2.50202	-0.447263	radar	1.92962	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908
1477010452789706	6.73093	-7.16644	-2.86512	-2.52314	-0.443986	lidar	0.0698402	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908
1477010452844772	6.7885	-7.0426	-2.69481	-2.41336	-0.0885382	radar	6.1252	6.68682	-6.93297	6.8	-7.05	0.908005	1.816
1477010452899838	6.88981	-6.9482	-2.67059	-2.41722	-0.088794	lidar	0.0412375	6.86356	-6.94732	6.85	-6.95	0.908	1.81601
1477010452954812	7.02848	-6.87833	-2.69949	-2.49777	-0.28929	radar	1.95276	7.08741	-6.92602	7	-6.85	2.72856	1.81904
1477010453009787	7.15333	-6.77876	-2.7296	-2.50914	-0.282319	lidar	0.0489013	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902
1477010453064726	7.23743	-6.66977	-2.63014	-2.43959	-0.0511117	radar	2.58736	7.29976	-6.68807	7.25	-6.65	1.8202	1.8202
